species,smiles,atom_count,formal_charge,old_net_charge,new_net_charge,old_resp_profile,new_resp_profile,max_abs_delta,mean_abs_delta,rms_delta,equivalence_ok,max_equivalence_spread,max_carboxylate_oxygen_spread,new_resp_variant_id
Diglyme,COCCOCCOC,23,0,6.245004513516506e-17,-2.7755575615628914e-17,legacy,adaptive,0.23522586878924992,0.06531698170389952,0.08607309533700654,True,0.0,0.0,daf13a5bad9a
Triglyme,COCCOCCOCCOC,30,0,-6.245004513516506e-17,2.7755575615628914e-17,legacy,adaptive,0.2653164836533398,0.06392802821302264,0.08996740796484326,True,0.0,0.0,aaa608e7b568
DOL,C1COCO1,11,0,-4.163336342344337e-17,2.7755575615628914e-17,legacy,adaptive,0.07717417931907633,0.021830638810283184,0.0318119082342666,True,0.0,0.0,9f37541cffc8
THF,C1CCOC1,13,0,5.2475385148298415e-17,8.933825901280557e-17,legacy,adaptive,0.0026867194561042626,0.0008172378871748963,0.001183712708825584,True,0.0,0.0,c0a39f980b3e
Dioxane,C1COCCO1,14,0,6.938893903907228e-18,1.8041124150158794e-16,legacy,adaptive,0.003417907316035633,0.0012458186691694216,0.001489958471100452,True,0.0,0.0,dc1b28a06c66
CPME,COC1CCCC1,19,0,-2.7755575615628914e-17,-8.326672684688674e-17,legacy,adaptive,0.1983960384056338,0.029159472855988838,0.054700396624179894,True,0.0,0.0,0f130560b148
TTE,FC(F)C(F)(F)COC(F)(F)C(F)F,18,0,1.942890293094024e-16,-1.1102230246251565e-16,legacy,adaptive,0.07451969958448798,0.013316105604824359,0.02163123196336813,True,0.0,0.0,ecd63f4e7aad
PF6,F[P-](F)(F)(F)(F)F,7,-1,-1.0,-1.0000000000000002,legacy,adaptive,0.00016111316555206256,0.0001086275149360819,0.00011724478084823753,True,0.0,0.0,02a6816741c3
NO3,[O-][N+](=O)[O-],4,-1,-1.0000000000000002,-0.9999999999999999,legacy,adaptive,3.341436903447903e-05,1.872395823701578e-05,2.1901013599179165e-05,True,0.0,0.0,ba3b1042749a
OTf,O=S(=O)([O-])C(F)(F)F,8,-1,-1.0,-1.0000000000000002,legacy,adaptive,0.6963646357932616,0.23516301018569014,0.3121670240718634,True,0.0,0.0,10f2b75cc840
TFSI,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,15,-1,-0.9999999999999999,-0.9999999999999992,adaptive,adaptive,0.33574432382837816,0.08953181968756746,0.137983728322939,True,0.0,0.0,7fd491c29452
